 id |        iccid         |     msisdn      | device_name | is_active | status |  organization   | truck | device_serial |    country    |    network_name    |    last_location_update    |      last_sync_at       
 78 | 89444611503507317913 | 883190603659416 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.747393 | 
 79 | 89444611503507318077 | 883190603657508 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.74957  | 
 64 | 89444611503507318085 | 883190603657503 |             | t         | active | GTO Fast Racing |       |               | United States | T-Mobile           | 2026-04-14 15:23:16.751565 | 2026-04-14 14:55:32.702
 82 | 89444611503507318119 | 883190603657509 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.681827 | 
 93 | 89444611503508862677 | 883190603748137 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.753684 | 
 94 | 89444611503508862685 | 883190603748143 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.755708 | 
 95 | 89444611503508862693 | 883190603748140 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.757791 | 
 96 | 89444611503508862701 | 883190603748141 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.759865 | 
 70 | 89444611503504616291 | 883190603400850 |             | t         | active | GTO Fast Racing |       |               | United States | T-Mobile           | 2026-04-14 15:23:16.761881 | 
 52 | 89444611503504517861 | 883190603571828 |             | t         | active | GTO Fast Racing |       |               | United States | AT&T Wireless Inc. | 2026-04-14 15:23:16.763897 | 2026-04-14 14:55:32.207
 88 | 89444611503508862628 | 883190603748138 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.765866 | 
 89 | 89444611503508862636 | 883190603748134 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.767872 | 
 90 | 89444611503508862644 | 883190603748139 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.769849 | 
 91 | 89444611503508862651 | 883190603748136 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.771952 | 
 92 | 89444611503508862669 | 883190603748142 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.77395  | 
